Col0,Col1,Col2,Col3,Col4,Col5,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col18,Col19,Col20,Col21,Col22,e_prob,p_prob,Col0_predict
e,x,f,g,t,n,c,b,w,t,b,s,s,w,p,o,p,k,v,d,0.994585,0.00541516,e
e,f,f,n,t,n,c,b,u,t,b,s,s,g,p,o,p,k,y,d,0.994585,0.00541516,e
e,x,y,e,t,n,c,b,p,t,b,s,s,g,p,o,p,n,v,d,0.994585,0.00541516,e
e,x,f,g,t,n,c,b,u,t,b,s,s,g,w,o,p,k,y,d,0.994585,0.00541516,e
e,f,f,g,t,n,c,b,p,t,b,s,s,p,w,o,p,k,y,d,0.994585,0.00541516,e
e,f,f,g,t,n,c,b,p,t,b,s,s,g,g,o,p,k,v,d,0.994585,0.00541516,e
e,f,f,n,t,n,c,b,n,t,b,s,s,g,w,o,p,k,y,d,0.994585,0.00541516,e
e,x,f,n,t,n,c,b,w,t,b,s,s,p,w,o,p,n,y,d,0.994585,0.00541516,e
e,x,y,e,t,n,c,b,w,t,b,s,s,g,g,o,p,n,y,d,0.994585,0.00541516,e
e,f,s,g,f,n,w,b,p,t,e,f,f,w,w,o,e,k,s,g,0.994585,0.00541516,e
e,x,y,e,t,n,c,b,p,t,b,s,s,g,w,o,p,k,y,d,0.994585,0.00541516,e
e,f,f,g,t,n,c,b,p,t,b,s,s,g,w,o,p,n,y,d,0.994585,0.00541516,e
e,x,y,e,t,n,c,b,w,t,b,s,s,g,p,o,p,k,y,d,0.994585,0.00541516,e
e,x,f,g,t,n,c,b,u,t,b,s,s,w,w,o,p,n,v,d,0.994585,0.00541516,e
e,f,f,n,t,n,c,b,w,t,b,s,s,w,g,o,p,k,y,d,0.994585,0.00541516,e
e,x,f,e,t,n,c,b,w,t,b,s,s,p,g,o,p,n,v,d,0.994585,0.00541516,e
e,x,f,e,t,n,c,b,n,t,b,s,s,g,w,o,p,n,v,d,0.994585,0.00541516,e
e,x,f,g,t,n,c,b,w,t,b,s,s,w,g,o,p,k,v,d,0.994585,0.00541516,e
p,x,f,w,f,c,w,n,g,e,b,s,s,w,w,o,p,n,s,d,0,1,p
e,x,y,e,t,n,c,b,p,t,b,s,s,p,p,o,p,n,y,d,0.994585,0.00541516,e
e,x,f,e,t,n,c,b,n,t,b,s,s,w,p,o,p,k,v,d,0.994585,0.00541516,e
e,x,y,n,t,n,c,b,w,t,b,s,s,p,w,o,p,n,y,d,0.994585,0.00541516,e
e,f,f,w,f,n,w,b,h,t,e,s,s,w,w,o,e,n,s,g,0.994585,0.00541516,e
e,x,f,g,t,n,c,b,n,t,b,s,s,g,w,o,p,n,y,d,0.994585,0.00541516,e
e,f,f,g,t,n,c,b,n,t,b,s,s,w,p,o,p,n,v,d,0.994585,0.00541516,e
e,x,f,g,t,n,c,b,w,t,b,s,s,p,g,o,p,n,y,d,0.994585,0.00541516,e
e,f,y,e,t,n,c,b,w,t,b,s,s,w,p,o,p,k,y,d,0.994585,0.00541516,e
e,x,f,e,t,n,c,b,n,t,b,s,s,p,p,o,p,k,y,d,0.994585,0.00541516,e
e,x,y,n,t,n,c,b,n,t,b,s,s,g,g,o,p,k,v,d,0.994585,0.00541516,e
e,x,y,e,t,n,c,b,n,t,b,s,s,g,g,o,p,n,v,d,0.994585,0.00541516,e
e,x,f,e,t,n,c,b,n,t,b,s,s,w,w,o,p,n,v,d,0.994585,0.00541516,e
e,f,y,e,t,n,c,b,n,t,b,s,s,w,w,o,p,k,v,d,0.994585,0.00541516,e
e,f,f,n,t,n,c,b,w,t,b,s,s,p,g,o,p,n,v,d,0.994585,0.00541516,e
e,x,y,g,t,n,c,b,p,t,b,s,s,w,w,o,p,n,v,d,0.994585,0.00541516,e
e,x,y,g,t,n,c,b,p,t,b,s,s,g,w,o,p,n,y,d,0.994585,0.00541516,e
e,x,f,g,t,n,c,b,n,t,b,s,s,g,p,o,p,n,v,d,0.994585,0.00541516,e
e,x,f,e,t,n,c,b,w,t,b,s,s,g,p,o,p,n,v,d,0.994585,0.00541516,e
e,x,f,n,t,n,c,b,w,t,b,s,s,g,w,o,p,k,y,d,0.994585,0.00541516,e
e,f,f,n,f,n,w,b,n,t,e,f,f,w,w,o,e,k,s,g,0.994585,0.00541516,e
e,x,f,e,t,n,c,b,w,t,b,s,s,w,g,o,p,n,y,d,0.994585,0.00541516,e
e,x,y,g,t,n,c,b,n,t,b,s,s,g,g,o,p,n,y,d,0.994585,0.00541516,e
e,x,y,n,t,n,c,b,u,t,b,s,s,p,p,o,p,k,v,d,0.994585,0.00541516,e
e,x,f,g,t,n,c,b,p,t,b,s,s,g,p,o,p,n,y,d,0.994585,0.00541516,e
e,x,y,e,t,n,c,b,n,t,b,s,s,p,g,o,p,n,y,d,0.994585,0.00541516,e
e,f,f,n,t,n,c,b,u,t,b,s,s,p,w,o,p,k,v,d,0.994585,0.00541516,e
e,x,y,g,t,n,c,b,u,t,b,s,s,w,w,o,p,k,y,d,0.994585,0.00541516,e
e,f,f,g,t,n,c,b,p,t,b,s,s,p,g,o,p,n,v,d,0.994585,0.00541516,e
e,x,f,e,t,n,c,b,u,t,b,s,s,p,p,o,p,k,v,d,0.994585,0.00541516,e
e,f,f,n,t,n,c,b,n,t,b,s,s,w,g,o,p,k,v,d,0.994585,0.00541516,e
e,x,y,g,t,n,c,b,p,t,b,s,s,g,p,o,p,n,y,d,0.994585,0.00541516,e
e,x,y,n,t,n,c,b,p,t,b,s,s,w,p,o,p,n,y,d,0.994585,0.00541516,e
e,x,y,e,t,n,c,b,w,t,b,s,s,w,p,o,p,k,v,d,0.994585,0.00541516,e
e,x,f,e,t,n,c,b,u,t,b,s,s,p,p,o,p,k,y,d,0.994585,0.00541516,e
e,x,f,n,t,n,c,b,u,t,b,s,s,w,w,o,p,n,v,d,0.994585,0.00541516,e
e,f,f,n,t,n,c,b,n,t,b,s,s,p,p,o,p,k,y,d,0.994585,0.00541516,e
e,x,y,g,t,n,c,b,n,t,b,s,s,w,w,o,p,k,v,d,0.994585,0.00541516,e
e,x,f,e,t,n,c,b,w,t,b,s,s,p,p,o,p,n,y,d,0.994585,0.00541516,e
e,f,f,n,t,n,c,b,w,t,b,s,s,w,p,o,p,n,v,d,0.994585,0.00541516,e
e,f,f,n,t,n,c,b,n,t,b,s,s,p,p,o,p,n,y,d,0.994585,0.00541516,e
e,x,y,e,t,n,c,b,u,t,b,s,s,g,p,o,p,k,y,d,0.994585,0.00541516,e
e,x,f,g,t,n,c,b,u,t,b,s,s,p,g,o,p,k,y,d,0.994585,0.00541516,e
e,x,f,g,t,n,c,b,u,t,b,s,s,g,g,o,p,k,v,d,0.994585,0.00541516,e
p,x,f,p,f,c,w,n,u,e,b,s,s,w,w,o,p,k,v,d,0,1,p
e,x,y,n,t,n,c,b,p,t,b,s,s,g,g,o,p,n,y,d,0.994585,0.00541516,e
e,x,f,e,t,n,c,b,p,t,b,s,s,w,p,o,p,n,v,d,0.994585,0.00541516,e
e,f,s,n,f,n,w,b,p,t,e,f,f,w,w,o,e,n,s,g,0.994585,0.00541516,e
e,x,y,g,t,n,c,b,p,t,b,s,s,p,g,o,p,k,y,d,0.994585,0.00541516,e
e,x,y,g,t,n,c,b,u,t,b,s,s,p,p,o,p,k,y,d,0.994585,0.00541516,e
e,x,f,n,t,n,c,b,u,t,b,s,s,p,w,o,p,k,y,d,0.994585,0.00541516,e
e,f,f,g,t,n,c,b,n,t,b,s,s,p,w,o,p,n,y,d,0.994585,0.00541516,e
e,x,f,g,t,n,c,b,w,t,b,s,s,g,p,o,p,n,v,d,0.994585,0.00541516,e
e,x,y,n,t,n,c,b,w,t,b,s,s,g,p,o,p,k,y,d,0.994585,0.00541516,e
e,x,f,e,t,n,c,b,w,t,b,s,s,g,p,o,p,n,y,d,0.994585,0.00541516,e
e,x,f,n,t,n,c,b,u,t,b,s,s,p,p,o,p,n,v,d,0.994585,0.00541516,e
e,f,f,g,t,n,c,b,n,t,b,s,s,g,p,o,p,n,v,d,0.994585,0.00541516,e
e,f,f,n,t,n,c,b,w,t,b,s,s,g,g,o,p,n,y,d,0.994585,0.00541516,e
e,x,y,g,t,n,c,b,w,t,b,s,s,g,g,o,p,n,v,d,0.994585,0.00541516,e
e,x,y,e,t,n,c,b,u,t,b,s,s,w,w,o,p,n,y,d,0.994585,0.00541516,e
e,x,y,g,t,n,c,b,p,t,b,s,s,p,w,o,p,k,v,d,0.994585,0.00541516,e
e,f,f,g,t,n,c,b,p,t,b,s,s,g,w,o,p,k,y,d,0.994585,0.00541516,e
